rank,name,mint_price,psa10_price,diff,url
72,ブラッキーVMAX [S6a 095/069],438000,899000,461000,https://pokeca-chart.com/s6a-095-069
1,ピカチュウ&ゼクロムGX [SM9 101/095],380000,665000,285000,https://pokeca-chart.com/sm9-101-095
30,ギラティナV [s11 111/100],185000,355000,170000,https://pokeca-chart.com/s11-111-100
49,リーリエのピッピex [MC 765/742],104833,230500,125667,https://pokeca-chart.com/mc-765-742
52,メガサーナイトex [M1S 092/063],52222,160000,107778,https://pokeca-chart.com/m1s-092-063
83,ミュウ [S8a 030/028],36400,116484,80084,https://pokeca-chart.com/s8a-030-028
9,ミュウex [SV4a 347/190],73750,149875,76125,https://pokeca-chart.com/sv4a-347-190
64,ピカチュウ [SV4a 236/190],9133,70249,61116,https://pokeca-chart.com/sv4a-236-190
3,ブラッキーV [S6a 085/069],47300,108128,60828,https://pokeca-chart.com/s6a-085-069
81,メガゲンガーex [M2a 240/193],72500,132015,59515,https://pokeca-chart.com/m2a-240-193
16,リザードンV [s9 103/100],31288,82996,51708,https://pokeca-chart.com/s9-103-100
10,ミュウツーV [s10b 074/071],14750,63000,48250,https://pokeca-chart.com/s10b-074-071
43,エリカのモンジャラ [MC 743/742],19000,66582,47582,https://pokeca-chart.com/mc-743-742
45,ピカチュウ [SM11b 054/049],26500,70000,43500,https://pokeca-chart.com/sm11b-054-049
58,ミュウV [s8 106/100],25000,68000,43000,https://pokeca-chart.com/s8-106-100
28,メガカイリューex [M2a 246/193],40296,81799,41503,https://pokeca-chart.com/m2a-246-193
14,ロケット団のミュウツーex [M2a 237/193],27500,68114,40614,https://pokeca-chart.com/m2a-237-193
17,カスミ＆カンナ [SM12a 191/173],34166,74352,40186,https://pokeca-chart.com/sm12a-191-173
99,ピカチュウex [sv8 136/106],23800,61000,37200,https://pokeca-chart.com/sv8-136-106
62,ソルガレオ&ルナアーラGX [SM11b 063/049],58500,95600,37100,https://pokeca-chart.com/sm11b-063-049
47,ミュウex [SV2a 208/165],14217,48088,33871,https://pokeca-chart.com/sv2a-208-165
57,ミュウツーVSTAR [S12a 221/172],16422,50000,33578,https://pokeca-chart.com/s12a-221-172
92,ニンフィアV [S6a 083/069],20000,53402,33402,https://pokeca-chart.com/s6a-083-069
31,サーフゴーex [sv3a 087/062],4233,30400,26167,https://pokeca-chart.com/sv3a-087-062
90,ピカチュウ [S10a 073/071],6666,30488,23822,https://pokeca-chart.com/s10a-073-071
11,かがやくリザードン [s10b 011/071],3407,24500,21093,https://pokeca-chart.com/s10b-011-071
51,オリジンディアルガV [S10D 075/067],7500,26833,19333,https://pokeca-chart.com/s10d-075-067
54,イーブイ [062/SV-P],9700,28999,19299,https://pokeca-chart.com/062-sv-p
4,メイ [SM11b 067/049],60000,78888,18888,https://pokeca-chart.com/sm11b-067-049
24,ミミッキュ [SV4a 341/190],1900,19500,17600,https://pokeca-chart.com/sv4a-341-190
6,かがやくイーブイ [s10b 055/071],2076,19518,17442,https://pokeca-chart.com/s10b-055-071
95,メガサーナイトex [M1S 087/063],17377,33750,16373,https://pokeca-chart.com/m1s-087-063
88,メガゲンガーex [M2a 230/193],4300,19847,15547,https://pokeca-chart.com/m2a-230-193
91,ピカチュウ [001/SV-P],4475,19809,15334,https://pokeca-chart.com/001-sv-p
68,ミミッキュVMAX [S8b 234/184],6950,20000,13050,https://pokeca-chart.com/s8b-234-184
60,オリジンパルキアVSTAR [S12a 259/172],10011,23000,12989,https://pokeca-chart.com/s12a-259-172
12,かがやくフシギバナ [s10b 004/071],1140,13000,11860,https://pokeca-chart.com/s10b-004-071
22,ブースター(マスターボールミラー) [sv8a 021/187],2597,13500,10903,https://pokeca-chart.com/sv8a-021-187
27,ゼラオラVMAX [S12a 219/172],3119,13999,10880,https://pokeca-chart.com/s12a-219-172
86,ヒガナの決意 [S7R 079/067],4400,15000,10600,https://pokeca-chart.com/s7r-079-067
21,デカヌチャンex [SV2D 093/071],4000,13333,9333,https://pokeca-chart.com/sv2d-093-071
74,パラソルおねえさん [sv3a 084/062],1200,10099,8899,https://pokeca-chart.com/sv3a-084-062
44,メガフシギバナex [M1L 087/063],6779,15642,8863,https://pokeca-chart.com/m1l-087-063
39,イーユイex [SV2D 092/071],3367,11999,8632,https://pokeca-chart.com/sv2d-092-071
33,ザシアンV [S12a 225/172],1500,9999,8499,https://pokeca-chart.com/s12a-225-172
70,キチキギスex [M2a 244/193],2301,10500,8199,https://pokeca-chart.com/m2a-244-193
85,ジャローダex [sv11B 167/086],2888,10500,7612,https://pokeca-chart.com/sv11b-167-086
41,ナンジャモのハラバリーex [sv9 114/100],990,8595,7605,https://pokeca-chart.com/sv9-114-100
7,チルタリス [s11a 074/068],1200,8430,7230,https://pokeca-chart.com/s11a-074-068
36,ローラースケーター [SM11a 073/064],2999,10000,7001,https://pokeca-chart.com/sm11a-073-064
19,ビワ [SV5K 091/071],655,7300,6645,https://pokeca-chart.com/sv5k-091-071
78,きとうし [SM11 105/094],1500,7999,6499,https://pokeca-chart.com/sm11-105-094
