rank,name,mint_price,psa10_price,diff,url
66,ブラッキーVMAX [S6a 095/069],480000,895000,415000,https://pokeca-chart.com/s6a-095-069
82,ピカチュウ [CP3 010/032],375000,780100,405100,https://pokeca-chart.com/cp3-010-032
4,Pikachu with Grey Felt Hat [SVP EN 085],173000,537777,364777,https://pokeca-chart.com/svp-en-085
10,ラティアス&ラティオスGX [SM9 105/095],555555,870000,314445,https://pokeca-chart.com/sm9-105-095
1,アイリス (1ed) [BW9 082/076],80000,370000,290000,https://pokeca-chart.com/bw9-082-076
2,リザードン [CP6 011/087],68000,226999,158999,https://pokeca-chart.com/cp6-011-087
25,ルチア [SM7 104/096],155000,273833,118833,https://pokeca-chart.com/sm7-104-096
67,ピカチュウ(マスターボールミラー) [SV2a 025/165],59555,153833,94278,https://pokeca-chart.com/sv2a-025-165
3,ルギアV [s12 110/098],130000,224000,94000,https://pokeca-chart.com/s12-110-098
59,ミュウex [SV4a 347/190],87000,155000,68000,https://pokeca-chart.com/sv4a-347-190
19,カスミのおねがい [SM11 104/094],23000,90000,67000,https://pokeca-chart.com/sm11-104-094
43,ミュウex [SV2a 205/165],46500,113210,66710,https://pokeca-chart.com/sv2a-205-165
89,メガゲンガーex [M2a 240/193],71830,135660,63830,https://pokeca-chart.com/m2a-240-193
38,メガジガルデex [M3 117/080],28000,91800,63800,https://pokeca-chart.com/m3-117-080
16,ピカチュウ [SV4a 236/190],11111,70700,59589,https://pokeca-chart.com/sv4a-236-190
26,メイのはげまし [M3 115/080],20710,75000,54290,https://pokeca-chart.com/m3-115-080
28,レッドの挑戦 [SM12a 201/173],30000,82000,52000,https://pokeca-chart.com/sm12a-201-173
78,トウホクのピカチュウ [260/SV-P],18000,68250,50250,https://pokeca-chart.com/260-sv-p
57,バンギラスV [S5I 077/070],32800,81900,49100,https://pokeca-chart.com/s5i-077-070
65,リザードンV [s9 103/100],33999,79800,45801,https://pokeca-chart.com/s9-103-100
75,エーフィV [S6a 081/069],19500,54451,34951,https://pokeca-chart.com/s6a-081-069
7,エーフィVMAX [189/S-P],56300,89000,32700,https://pokeca-chart.com/189-s-p
70,ブラッキー(マスターボールミラー) [sv8a 092/187],17000,43800,26800,https://pokeca-chart.com/sv8a-092-187
90,ミュウツー [CLK 014/032],7500,34180,26680,https://pokeca-chart.com/clk-014-032
5,かがやくリザードン [s10b 011/071],4500,30933,26433,https://pokeca-chart.com/s10b-011-071
12,ブラッキーVMAX [S8b 245/184],13000,39300,26300,https://pokeca-chart.com/s8b-245-184
20,ギラティナVSTAR [s11 125/100],9300,33999,24699,https://pokeca-chart.com/s11-125-100
15,ひかるコイキング [S8a-P 010/025],22278,45000,22722,https://pokeca-chart.com/s8a-p-010-025
96,ナツメの暗示 [SM9 109/095],7988,30000,22012,https://pokeca-chart.com/sm9-109-095
60,ニンフィアVMAX [S8b 232/184],9000,30800,21800,https://pokeca-chart.com/s8b-232-184
52,ピカチュウ [SV2a 173/165],5560,26766,21206,https://pokeca-chart.com/sv2a-173-165
77,ピカチュウVMAX [S8b 223/184],19900,40500,20600,https://pokeca-chart.com/s8b-223-184
73,サナ [S7R 077/067],7900,28000,20100,https://pokeca-chart.com/s7r-077-067
94,ボスの指令 [MC 760/742],18888,38500,19612,https://pokeca-chart.com/mc-760-742
88,ピカチュウ [001/SV-P],4687,23890,19203,https://pokeca-chart.com/001-sv-p
81,トウコ [sv11W 173/086],7799,27000,19201,https://pokeca-chart.com/sv11w-173-086
56,かがやくイーブイ [s10b 055/071],2048,21000,18952,https://pokeca-chart.com/s10b-055-071
31,イーブイ [062/SV-P],13000,31060,18060,https://pokeca-chart.com/062-sv-p
69,ガブリアスV [S9a 084/067],6400,23999,17599,https://pokeca-chart.com/s9a-084-067
47,リーフィア [068/SV-P],8722,25950,17228,https://pokeca-chart.com/068-sv-p
62,ミュウツー [SV2a 183/165],3965,20750,16785,https://pokeca-chart.com/sv2a-183-165
33,カルネ [SM6 101/094],6500,22000,15500,https://pokeca-chart.com/sm6-101-094
24,メガピクシーex [M3 112/080],3000,17500,14500,https://pokeca-chart.com/m3-112-080
71,シロナのガブリアスex [sv9a 087/063],42500,57000,14500,https://pokeca-chart.com/sv9a-087-063
35,スグリ [SV6 129/101],2800,16950,14150,https://pokeca-chart.com/sv6-129-101
32,ソウブレイズex [sv8a 203/187],2110,16147,14037,https://pokeca-chart.com/sv8a-203-187
80,シャワーズ(マスターボールミラー) [sv8a 030/187],2600,15842,13242,https://pokeca-chart.com/sv8a-030-187
72,いたずら好きのピチュー [214/S-P],4233,17236,13003,https://pokeca-chart.com/214-s-p
18,マリィのオーロンゲex [M2a 243/193],5999,19000,13001,https://pokeca-chart.com/m2a-243-193
61,ロケット団のニドキングex [sv10 126/098],9800,22400,12600,https://pokeca-chart.com/sv10-126-098
84,イーブイex [sv8a 224/187],4999,16650,11651,https://pokeca-chart.com/sv8a-224-187
50,ダイゴの決断 [SM7 102/096],6000,17000,11000,https://pokeca-chart.com/sm7-102-096
37,ザシアンV [S12a 225/172],1700,11100,9400,https://pokeca-chart.com/s12a-225-172
87,ジャローダV [s11a 084/068],4399,13650,9251,https://pokeca-chart.com/s11a-084-068
86,ブースターex [sv8a 202/187],7500,16500,9000,https://pokeca-chart.com/sv8a-202-187
9,スイクンV [S12a 215/172],5166,14000,8834,https://pokeca-chart.com/s12a-215-172
29,カエデ [SV1V 097/078],680,9288,8608,https://pokeca-chart.com/sv1v-097-078
49,メロエッタex [sv11B 170/086],3000,11367,8367,https://pokeca-chart.com/sv11b-170-086
92,パオジアンex [SV2P 093/071],3700,10499,6799,https://pokeca-chart.com/sv2p-093-071
45,オモダカ [SV3 137/108],1100,7600,6500,https://pokeca-chart.com/sv3-137-108
40,サザンドラex [sv8 133/106],4955,11150,6195,https://pokeca-chart.com/sv8-133-106
98,ペパー [SV4a 353/190],1050,6555,5505,https://pokeca-chart.com/sv4a-353-190
13,スグリ [SV6 122/101],800,5990,5190,https://pokeca-chart.com/sv6-122-101
30,グソクムシャex [SV4K 088/066],2400,7300,4900,https://pokeca-chart.com/sv4k-088-066
53,ブライア [sv7 126/102],700,4555,3855,https://pokeca-chart.com/sv7-126-102
