rank,name,mint_price,psa10_price,diff,url
83,ブラッキーVMAX [S6a 095/069],490000,865483,375483,https://pokeca-chart.com/s6a-095-069
8,Pikachu with Grey Felt Hat [SVP EN 085],198036,560000,361964,https://pokeca-chart.com/svp-en-085
85,ピカチュウ [CP3 010/032],445000,800000,355000,https://pokeca-chart.com/cp3-010-032
1,ミュウツー&ミュウGX [SM11 098/094],277777,580000,302223,https://pokeca-chart.com/sm11-098-094
17,メガカイリューex [M2a 250/193],52500,133667,81167,https://pokeca-chart.com/m2a-250-193
98,ニンフィアGX [SM8b 238/150],23980,77777,53797,https://pokeca-chart.com/sm8b-238-150
87,ミュウツーV [s10b 074/071],16500,65000,48500,https://pokeca-chart.com/s10b-074-071
53,トウホクのピカチュウ [260/SV-P],18888,66480,47592,https://pokeca-chart.com/260-sv-p
73,ピカチュウ [SV4a 236/190],10200,55555,45355,https://pokeca-chart.com/sv4a-236-190
95,ピカチュウ [208/S-P],25111,69440,44329,https://pokeca-chart.com/208-s-p
67,ブルーの探索 [SM9b 061/054],21000,62700,41700,https://pokeca-chart.com/sm9b-061-054
69,レシラムex [sv11W 174/086],85000,123944,38944,https://pokeca-chart.com/sv11w-174-086
28,エーフィVMAX [189/S-P],56300,90300,34000,https://pokeca-chart.com/189-s-p
38,ブラッキーVMAX [S8b 245/184],9000,37975,28975,https://pokeca-chart.com/s8b-245-184
55,ニンフィアV [S6a 083/069],20478,49444,28966,https://pokeca-chart.com/s6a-083-069
59,ミュウツーVSTAR [s10b 091/071],7935,36300,28365,https://pokeca-chart.com/s10b-091-071
24,カメックスex [SV2a 202/165],22000,50143,28143,https://pokeca-chart.com/sv2a-202-165
65,ニャースex [M3 114/080],12800,37700,24900,https://pokeca-chart.com/m3-114-080
47,エリカの招待 [SV2a 206/165],8000,32583,24583,https://pokeca-chart.com/sv2a-206-165
40,メイのはげまし [M3 107/080],2599,26666,24067,https://pokeca-chart.com/m3-107-080
76,ボスの指令 [MC 760/742],18888,39980,21092,https://pokeca-chart.com/mc-760-742
71,トウコ [sv11W 173/086],8600,29244,20644,https://pokeca-chart.com/sv11w-173-086
36,レッド&グリーン [SM12 108/095],9999,29999,20000,https://pokeca-chart.com/sm12-108-095
26,サナ [S7R 077/067],7900,27374,19474,https://pokeca-chart.com/s7r-077-067
7,シャワーズV [S6a 075/069],20000,39400,19400,https://pokeca-chart.com/s6a-075-069
89,ニンフィアVMAX [S8b 232/184],11000,30150,19150,https://pokeca-chart.com/s8b-232-184
42,ギラティナVSTAR [S12a 261/172],26507,44900,18393,https://pokeca-chart.com/s12a-261-172
57,ピカチュウ [001/SV-P],4499,22820,18321,https://pokeca-chart.com/001-sv-p
35,カスミのコダック [sv9a 071/063],4375,22111,17736,https://pokeca-chart.com/sv9a-071-063
3,かがやくイーブイ [s10b 055/071],2333,19900,17567,https://pokeca-chart.com/s10b-055-071
94,エーフィ [066/SV-P],9999,26959,16960,https://pokeca-chart.com/066-sv-p
81,フシギバナex [SV2a 200/165],19283,36000,16717,https://pokeca-chart.com/sv2a-200-165
78,カルネ [SM6 101/094],6500,22000,15500,https://pokeca-chart.com/sm6-101-094
100,ガブリアスex [sv3a 085/062],5500,19980,14480,https://pokeca-chart.com/sv3a-085-062
82,スイレンのお世話 [SV5a 093/066],3500,17800,14300,https://pokeca-chart.com/sv5a-093-066
31,スグリ [SV6 129/101],2800,16950,14150,https://pokeca-chart.com/sv6-129-101
12,メガピクシーex [M3 112/080],3497,17400,13903,https://pokeca-chart.com/m3-112-080
5,かがやくフシギバナ [s10b 004/071],1250,13500,12250,https://pokeca-chart.com/s10b-004-071
62,リーフィア(マスターボールミラー) [sv8a 002/187],2600,14847,12247,https://pokeca-chart.com/sv8a-002-187
44,マツリカ [SM12a 198/173],6000,17777,11777,https://pokeca-chart.com/sm12a-198-173
10,マリィのオーロンゲex [M2a 243/193],5999,17700,11701,https://pokeca-chart.com/m2a-243-193
75,エンテイV [S12a 213/172],3750,14380,10630,https://pokeca-chart.com/s12a-213-172
70,ミモザ [SV1V 100/078],3000,13500,10500,https://pokeca-chart.com/sv1v-100-078
48,カミツレのきらめき [S12a 246/172],3000,13000,10000,https://pokeca-chart.com/s12a-246-172
34,イーブイex [sv8a 223/187],6666,16000,9334,https://pokeca-chart.com/sv8a-223-187
96,デカヌチャンex [SV2D 093/071],4199,13333,9134,https://pokeca-chart.com/sv2d-093-071
51,ヒスイダイケンキV [S12a 229/172],878,9500,8622,https://pokeca-chart.com/s12a-229-172
61,ザシアンV [S12a 225/172],1527,9400,7873,https://pokeca-chart.com/s12a-225-172
97,キュレムex [sv11B 168/086],4000,11090,7090,https://pokeca-chart.com/sv11b-168-086
63,マシマシラex [sv6a 088/064],999,7000,6001,https://pokeca-chart.com/sv6a-088-064
29,ハプウ [SM12a 195/173],1500,6999,5499,https://pokeca-chart.com/sm12a-195-173
19,スグリ [SV6 122/101],850,5990,5140,https://pokeca-chart.com/sv6-122-101
14,ネルケ [SV4a 352/190],1980,1800,-180,https://pokeca-chart.com/sv4a-352-190
