rank,name,mint_price,psa10_price,diff,url
1,Pikachu with Grey Felt Hat [SVP EN 085],173000,530167,357167,https://pokeca-chart.com/svp-en-085
5,ラティアス&ラティオスGX [SM9 105/095],555555,888333,332778,https://pokeca-chart.com/sm9-105-095
87,ピカチュウex [MC 764/742],344444,612833,268389,https://pokeca-chart.com/mc-764-742
3,レッドのピカチュウ [270/SM-P],65000,229000,164000,https://pokeca-chart.com/270-sm-p
56,メガルカリオex [M1L 092/063],61500,161999,100499,https://pokeca-chart.com/m1l-092-063
40,メガカイリューex [M2a 250/193],45000,145125,100125,https://pokeca-chart.com/m2a-250-193
94,ピカチュウ(マスターボールミラー) [SV2a 025/165],66667,149946,83279,https://pokeca-chart.com/sv2a-025-165
37,ミュウex [SV4a 347/190],87000,156250,69250,https://pokeca-chart.com/sv4a-347-190
32,メガジガルデex [M3 117/080],28000,92000,64000,https://pokeca-chart.com/m3-117-080
13,ピカチュウ [SV4a 236/190],11111,72067,60956,https://pokeca-chart.com/sv4a-236-190
72,リーリエの決心 [M1L 091/063],32650,93027,60377,https://pokeca-chart.com/m1l-091-063
24,メイのはげまし [M3 115/080],20710,74700,53990,https://pokeca-chart.com/m3-115-080
90,ロケット団のミュウツーex [sv10 125/098],80000,130000,50000,https://pokeca-chart.com/sv10-125-098
45,バンギラスV [S5I 077/070],32800,82000,49200,https://pokeca-chart.com/s5i-077-070
67,リーリエの全力 [SM11b 068/049],35600,84267,48667,https://pokeca-chart.com/sm11b-068-049
28,リザードンex [SV3 134/108],48777,96650,47873,https://pokeca-chart.com/sv3-134-108
52,リザードンV [s9 103/100],33999,79500,45501,https://pokeca-chart.com/s9-103-100
79,ブラッキー☆ [s8a-p 012/025],27999,72667,44668,https://pokeca-chart.com/s8a-p-012-025
74,エーフィV [S6a 081/069],19500,54451,34951,https://pokeca-chart.com/s6a-081-069
81,ガラルファイヤーV [S5a 078/070],42000,71000,29000,https://pokeca-chart.com/s5a-078-070
7,ブラッキーVMAX [S8b 245/184],11555,38950,27395,https://pokeca-chart.com/s8b-245-184
63,ミュウツー [CLK 014/032],7500,34180,26680,https://pokeca-chart.com/clk-014-032
6,かがやくリザードン [s10b 011/071],4500,31000,26500,https://pokeca-chart.com/s10b-011-071
11,ギラティナVSTAR [s11 125/100],9300,35800,26500,https://pokeca-chart.com/s11-125-100
2,スターミーV [S9a 083/067],16999,42990,25991,https://pokeca-chart.com/s9a-083-067
48,サンダーex [SV2a 204/165],14999,40433,25434,https://pokeca-chart.com/sv2a-204-165
26,ひかるコイキング [S8a-P 010/025],22278,45500,23222,https://pokeca-chart.com/s8a-p-010-025
65,ピカチュウ [SV2a 173/165],4800,26649,21849,https://pokeca-chart.com/sv2a-173-165
99,リザードンV [S12a 211/172],6999,28400,21401,https://pokeca-chart.com/s12a-211-172
83,ボスの指令 [MC 760/742],18888,39150,20262,https://pokeca-chart.com/mc-760-742
17,シャワーズV [S6a 075/069],20000,39999,19999,https://pokeca-chart.com/s6a-075-069
58,ゼクロムex [sv11B 169/086],28000,47125,19125,https://pokeca-chart.com/sv11b-169-086
29,カスミのコダック [sv9a 071/063],4510,21995,17485,https://pokeca-chart.com/sv9a-071-063
89,メガサーナイトex [M1S 087/063],15900,32985,17085,https://pokeca-chart.com/m1s-087-063
44,リーフィア [068/SV-P],8722,25800,17078,https://pokeca-chart.com/068-sv-p
53,ミュウツー [SV2a 183/165],3965,20925,16960,https://pokeca-chart.com/sv2a-183-165
39,エーフィ(マスターボールミラー) [sv8a 062/187],3780,20000,16220,https://pokeca-chart.com/sv8a-062-187
76,セレナ [S11A 081/068],8634,24400,15766,https://pokeca-chart.com/s11a-081-068
80,リザードンex [SV4a 331/190],2824,18500,15676,https://pokeca-chart.com/sv4a-331-190
92,メガスターミーex [M3 111/080],3574,18500,14926,https://pokeca-chart.com/m3-111-080
55,シロナのガブリアスex [sv9a 087/063],42500,57000,14500,https://pokeca-chart.com/sv9a-087-063
59,ミカンのまなざし [sv8 135/106],2900,16999,14099,https://pokeca-chart.com/sv8-135-106
54,かがやくカメックス [s10b 018/071],1133,14900,13767,https://pokeca-chart.com/s10b-018-071
98,サイトウ [S8b 261/184],1600,14950,13350,https://pokeca-chart.com/s8b-261-184
19,マリィのオーロンゲex [M2a 243/193],5999,19000,13001,https://pokeca-chart.com/m2a-243-193
14,メガピクシーex [M3 112/080],3000,16000,13000,https://pokeca-chart.com/m3-112-080
91,ロケット団のニドキングex [sv10 126/098],9800,22400,12600,https://pokeca-chart.com/sv10-126-098
77,カミツレのきらめき [s8 113/100],1974,13980,12006,https://pokeca-chart.com/s8-113-100
51,ザシアンV [S12a 225/172],1400,12000,10600,https://pokeca-chart.com/s12a-225-172
60,ミモザ [SV1V 100/078],3000,13400,10400,https://pokeca-chart.com/sv1v-100-078
57,アロマなおねえさん [S6a 086/069],1700,11500,9800,https://pokeca-chart.com/s6a-086-069
4,デオキシスVSTAR [S12a 223/172],3400,12990,9590,https://pokeca-chart.com/s12a-223-172
85,フヨウ [S5l 080/070],1980,11293,9313,https://pokeca-chart.com/s5l-080-070
70,カミツレのきらめき [S12a 246/172],3222,12250,9028,https://pokeca-chart.com/s12a-246-172
96,キチキギスex [M2a 244/193],2350,11111,8761,https://pokeca-chart.com/m2a-244-193
64,デカヌチャンex [SV2D 093/071],4300,13000,8700,https://pokeca-chart.com/sv2d-093-071
30,リーリエのアブリボン [sv9 105/100],1240,9800,8560,https://pokeca-chart.com/sv9-105-100
21,ナナミの手助け [SV2a 198/165],600,9000,8400,https://pokeca-chart.com/sv2a-198-165
78,グリーンの戦略 [SM11 106/094],3400,11500,8100,https://pokeca-chart.com/sm11-106-094
69,マスカーニャex [SV1a 096/073],7999,14900,6901,https://pokeca-chart.com/sv1a-096-073
43,フーパV [S12a 231/172],868,7500,6632,https://pokeca-chart.com/s12a-231-172
31,オモダカ [SV3 137/108],1100,7600,6500,https://pokeca-chart.com/sv3-137-108
95,パオジアンex [SV2P 093/071],3700,10200,6500,https://pokeca-chart.com/sv2p-093-071
8,シロナのミカルゲ [M2a 208/193],500,6500,6000,https://pokeca-chart.com/m2a-208-193
71,ペパー [SV4a 353/190],1050,6555,5505,https://pokeca-chart.com/sv4a-353-190
100,スグリ [SV6 122/101],800,5990,5190,https://pokeca-chart.com/sv6-122-101
42,ブライア [sv7 126/102],700,4555,3855,https://pokeca-chart.com/sv7-126-102
