rank,name,mint_price,psa10_price,diff,url
86,リザードンEX [276/XY-P],660000,1150000,490000,https://pokeca-chart.com/276-xy-p
4,Pikachu with Grey Felt Hat [SVP EN 085],199999,509500,309501,https://pokeca-chart.com/svp-en-085
96,かんこうきゃく [SM12a 192/173],99999,249750,149751,https://pokeca-chart.com/sm12a-192-173
16,レッドのピカチュウ [270/SM-P],45000,187714,142714,https://pokeca-chart.com/270-sm-p
18,メガルカリオex [M1L 092/063],63000,160000,97000,https://pokeca-chart.com/m1l-092-063
78,ブルーの探索 [SM12a 196/173],45999,132000,86001,https://pokeca-chart.com/sm12a-196-173
66,メガカイリューex [M2a 250/193],49999,133800,83801,https://pokeca-chart.com/m2a-250-193
98,メガオーダイルex [MC 763/742],33999,108000,74001,https://pokeca-chart.com/mc-763-742
53,メガジガルデex [M3 117/080],35000,95000,60000,https://pokeca-chart.com/m3-117-080
34,ヒロシマのピカチュウ [261/SV-P],25000,82555,57555,https://pokeca-chart.com/261-sv-p
27,ニンフィアGX [SM8b 238/150],29500,85000,55500,https://pokeca-chart.com/sm8b-238-150
87,エリカのモンジャラ [MC 743/742],17433,71000,53567,https://pokeca-chart.com/mc-743-742
62,バンギラスV [S5I 077/070],28000,81000,53000,https://pokeca-chart.com/s5i-077-070
35,ピカチュウex [WCS23 001/030],70000,120000,50000,https://pokeca-chart.com/wcs23-001-030
40,ミュウツーV [s10b 074/071],13000,60000,47000,https://pokeca-chart.com/s10b-074-071
61,ピカチュウex [M2a 234/193],64311,110518,46207,https://pokeca-chart.com/m2a-234-193
64,ピカチュウ [208/S-P],24976,69018,44042,https://pokeca-chart.com/208-s-p
80,エーフィGX [SM8b 220/150],17500,60500,43000,https://pokeca-chart.com/sm8b-220-150
23,ミュウex [SV2a 208/165],13978,49200,35222,https://pokeca-chart.com/sv2a-208-165
11,リザードンex [SV3 134/108],65000,98000,33000,https://pokeca-chart.com/sv3-134-108
100,エリカのおもてなし [SM9 107/095],15500,48450,32950,https://pokeca-chart.com/sm9-107-095
99,リザードンVMAX [S4a 308/190],24541,57067,32526,https://pokeca-chart.com/s4a-308-190
30,リザードンex [SV3 139/108],12250,43951,31701,https://pokeca-chart.com/sv3-139-108
67,エーフィV [S6a 081/069],18888,50000,31112,https://pokeca-chart.com/s6a-081-069
2,ルカリオVSTAR [S12a 226/172],5022,34611,29589,https://pokeca-chart.com/s12a-226-172
24,イーブイ [MC 755/742],67295,95000,27705,https://pokeca-chart.com/mc-755-742
58,メイのはげまし [M3 107/080],2764,30000,27236,https://pokeca-chart.com/m3-107-080
56,ブラッキー(マスターボールミラー) [sv8a 092/187],16185,42827,26642,https://pokeca-chart.com/sv8a-092-187
12,ゼラオラV [S6K 074/070],11438,38000,26562,https://pokeca-chart.com/s6k-074-070
15,メガリザードンXex [M2a 223/193],9333,35433,26100,https://pokeca-chart.com/m2a-223-193
50,ラティアス [SV7a 087/064],22222,47700,25478,https://pokeca-chart.com/sv7a-087-064
29,エリカの招待 [SV2a 206/165],11000,36300,25300,https://pokeca-chart.com/sv2a-206-165
38,ブースターV [S6a 073/069],16499,41000,24501,https://pokeca-chart.com/s6a-073-069
92,ヒビキのホウオウex [sv9a 090/063],3800,28000,24200,https://pokeca-chart.com/sv9a-090-063
46,インテレオンVMAX [SGI 023/022],6999,29900,22901,https://pokeca-chart.com/sgi-023-022
20,ルチアのアピール [SV7a 091/064],23490,45555,22065,https://pokeca-chart.com/sv7a-091-064
5,メガルカリオex [M1L 088/063],11168,31900,20732,https://pokeca-chart.com/m1l-088-063
36,ベルのまごころ [SV5M 097/071],6666,27000,20334,https://pokeca-chart.com/sv5m-097-071
25,ひかるコイキング [S8a-P 010/025],25555,44430,18875,https://pokeca-chart.com/s8a-p-010-025
52,サーナイトex [SV1S 101/078],22625,39933,17308,https://pokeca-chart.com/sv1s-101-078
60,エーフィ [066/SV-P],9588,26666,17078,https://pokeca-chart.com/066-sv-p
72,フーディンex [SV2a 203/165],8000,25000,17000,https://pokeca-chart.com/sv2a-203-165
3,ゼクロムex [sv11B 169/086],29999,46825,16826,https://pokeca-chart.com/sv11b-169-086
31,ロケット団のサカキ [sv10 129/098],2677,17777,15100,https://pokeca-chart.com/sv10-129-098
70,メガゲンガーex [M2a 230/193],3599,18678,15079,https://pokeca-chart.com/m2a-230-193
49,サンダース [064/SV-P],9988,25008,15020,https://pokeca-chart.com/064-sv-p
63,ブースター [065/SV-P],9300,24000,14700,https://pokeca-chart.com/065-sv-p
26,ミライドンex [SV1V 102/078],5188,19600,14412,https://pokeca-chart.com/sv1v-102-078
81,ニンフィアex [sv8a 212/187],20500,34750,14250,https://pokeca-chart.com/sv8a-212-187
