rank,name,mint_price,psa10_price,diff,url
95,リザードンEX [276/XY-P],660000,1150000,490000,https://pokeca-chart.com/276-xy-p
77,ゲンガー&ミミッキュGX [SM9 103/095],180000,585000,405000,https://pokeca-chart.com/sm9-103-095
1,Pikachu with Grey Felt Hat [SVP EN 085],199999,602500,402501,https://pokeca-chart.com/svp-en-085
32,サーナイトEX [CP3 019/032],40000,185266,145266,https://pokeca-chart.com/cp3-019-032
24,レッドのピカチュウ [270/SM-P],45000,187714,142714,https://pokeca-chart.com/270-sm-p
55,ブルーの探索 [SM12a 196/173],45999,140267,94268,https://pokeca-chart.com/sm12a-196-173
18,メガジガルデex [M3 117/080],35000,113000,78000,https://pokeca-chart.com/m3-117-080
66,メガオーダイルex [MC 763/742],33999,108000,74001,https://pokeca-chart.com/mc-763-742
10,ピカチュウ [SV4a 236/190],8597,80000,71403,https://pokeca-chart.com/sv4a-236-190
59,リザードン [S8a-P 001/025],85000,155000,70000,https://pokeca-chart.com/s8a-p-001-025
76,リザードンex [SV3 134/108],42100,104999,62899,https://pokeca-chart.com/sv3-134-108
26,ヒロシマのピカチュウ [261/SV-P],25000,83167,58167,https://pokeca-chart.com/261-sv-p
85,メイのはげまし [M3 115/080],20722,78000,57278,https://pokeca-chart.com/m3-115-080
28,ピカチュウex [sv8 132/106],76250,133500,57250,https://pokeca-chart.com/sv8-132-106
65,ロケット団のミュウツーex [sv10 125/098],64000,120495,56495,https://pokeca-chart.com/sv10-125-098
31,グリーンの戦略 [SM12a 193/173],22000,77500,55500,https://pokeca-chart.com/sm12a-193-173
27,ニンフィアGX [SM8b 238/150],29500,84916,55416,https://pokeca-chart.com/sm8b-238-150
61,エリカのモンジャラ [MC 743/742],17278,71000,53722,https://pokeca-chart.com/mc-743-742
75,バンギラスV [S5I 077/070],28000,81000,53000,https://pokeca-chart.com/s5i-077-070
100,トウホクのピカチュウ [260/SV-P],19500,69732,50232,https://pokeca-chart.com/260-sv-p
37,ミュウツーV [s10b 074/071],9900,60000,50100,https://pokeca-chart.com/s10b-074-071
92,エーフィGX [SM8b 220/150],17500,60500,43000,https://pokeca-chart.com/sm8b-220-150
43,ピカチュウex [M2a 234/193],67400,110192,42792,https://pokeca-chart.com/m2a-234-193
57,リザードンex [SV3 139/108],11000,47000,36000,https://pokeca-chart.com/sv3-139-108
81,エーフィV [S6a 081/069],18888,53000,34112,https://pokeca-chart.com/s6a-081-069
46,ミュウex [SV2a 208/165],13978,47000,33022,https://pokeca-chart.com/sv2a-208-165
8,ゼラオラV [S6K 074/070],11437,39433,27996,https://pokeca-chart.com/s6k-074-070
14,メイのはげまし [M3 107/080],2866,30000,27134,https://pokeca-chart.com/m3-107-080
4,ルカリオVSTAR [S12a 226/172],5000,31890,26890,https://pokeca-chart.com/s12a-226-172
70,ルチアのアピール [SV7a 091/064],24000,50000,26000,https://pokeca-chart.com/sv7a-091-064
56,ラティアス [SV7a 087/064],22222,47900,25678,https://pokeca-chart.com/sv7a-087-064
97,ブラッキー(マスターボールミラー) [sv8a 092/187],15538,40000,24462,https://pokeca-chart.com/sv8a-092-187
73,ひかるコイキング [S8a-P 010/025],19999,44400,24401,https://pokeca-chart.com/s8a-p-010-025
47,エリカの招待 [SV2a 206/165],11000,34464,23464,https://pokeca-chart.com/sv2a-206-165
