rank,name,mint_price,psa10_price,diff,url
46,ラティアス&ラティオスGX [SM9 105/095],389999,865000,475001,https://pokeca-chart.com/sm9-105-095
14,ピカチュウ&ゼクロムGX [SM9 101/095],250100,651500,401400,https://pokeca-chart.com/sm9-101-095
1,Pikachu with Grey Felt Hat [SVP EN 085],244444,464000,219556,https://pokeca-chart.com/svp-en-085
95,かんこうきゃく [SM12a 192/173],99999,251500,151501,https://pokeca-chart.com/sm12a-192-173
99,ピカチュウ [001/S-P],59500,210000,150500,https://pokeca-chart.com/001-s-p
7,ゲンガーVMAX [SGG 020/019],232778,377500,144722,https://pokeca-chart.com/sgg-020-019
4,レッドのピカチュウ [270/SM-P],50000,186000,136000,https://pokeca-chart.com/270-sm-p
93,メガカイリューex [M2a 250/193],46666,130937,84271,https://pokeca-chart.com/m2a-250-193
24,_のピカチュウ [S8a 007/025],55555,134300,78745,https://pokeca-chart.com/s8a-007-025
100,メガジガルデex [M3 117/080],28500,103700,75200,https://pokeca-chart.com/m3-117-080
18,ピカチュウ [SV4a 236/190],7500,73360,65860,https://pokeca-chart.com/sv4a-236-190
88,ミュウex [SV2a 205/165],48000,110800,62800,https://pokeca-chart.com/sv2a-205-165
89,ロケット団のミュウツーex [sv10 125/098],71555,131200,59645,https://pokeca-chart.com/sv10-125-098
94,メイのはげまし [M3 115/080],19999,76389,56390,https://pokeca-chart.com/m3-115-080
27,リザードンex [SV3 134/108],45666,99450,53784,https://pokeca-chart.com/sv3-134-108
17,ミュウツーV [s10b 074/071],13500,63000,49500,https://pokeca-chart.com/s10b-074-071
61,ヒロシマのピカチュウ [261/SV-P],32000,81167,49167,https://pokeca-chart.com/261-sv-p
55,ゼイユ [SV6 130/101],22000,70933,48933,https://pokeca-chart.com/sv6-130-101
69,リザードンex [SV3 139/108],9999,47000,37001,https://pokeca-chart.com/sv3-139-108
47,ロケット団のミュウツーex [M2a 237/193],27245,62412,35167,https://pokeca-chart.com/m2a-237-193
96,ブラッキーex [sv8a 217/187],70800,105000,34200,https://pokeca-chart.com/sv8a-217-187
60,ブラッキー☆ [s8a-p 012/025],32303,64722,32419,https://pokeca-chart.com/s8a-p-012-025
92,アルセウスVSTAR [S12a 262/172],15999,48000,32001,https://pokeca-chart.com/s12a-262-172
23,レシラム&ゼクロムGX [SM11b 064/049],30750,58639,27889,https://pokeca-chart.com/sm11b-064-049
3,ルカリオVSTAR [S12a 226/172],5483,33333,27850,https://pokeca-chart.com/s12a-226-172
39,エリカの招待 [SV2a 206/165],7999,34950,26951,https://pokeca-chart.com/sv2a-206-165
87,メガリザードンXex [M2a 223/193],8614,34950,26336,https://pokeca-chart.com/m2a-223-193
35,メイのはげまし [M3 107/080],2800,28844,26044,https://pokeca-chart.com/m3-107-080
16,ゼラオラV [S6K 074/070],12000,37000,25000,https://pokeca-chart.com/s6k-074-070
50,ゼクロムex [sv11B 169/086],22494,47000,24506,https://pokeca-chart.com/sv11b-169-086
83,ブラッキー(マスターボールミラー) [sv8a 092/187],16640,40260,23620,https://pokeca-chart.com/sv8a-092-187
90,オリジンディアルガV [S10D 075/067],6800,28178,21378,https://pokeca-chart.com/s10d-075-067
64,メガルカリオex [M1L 088/063],10222,29875,19653,https://pokeca-chart.com/m1l-088-063
42,ロケット団のファイヤーex [sv10 124/098],17000,36433,19433,https://pokeca-chart.com/sv10-124-098
86,サーナイトex [SV4a 348/190],14777,33900,19123,https://pokeca-chart.com/sv4a-348-190
53,イーブイ(マスターボールミラー) [sv8a 125/187],2944,21140,18196,https://pokeca-chart.com/sv8a-125-187
28,ニンフィアVMAX [S8b 232/184],9999,27300,17301,https://pokeca-chart.com/s8b-232-184
72,ピカチュウ [001/SV-P],4613,19880,15267,https://pokeca-chart.com/001-sv-p
21,メガゲンガーex [M2a 230/193],3666,18849,15183,https://pokeca-chart.com/m2a-230-193
82,イーブイ [SV5a 078/066],5000,20000,15000,https://pokeca-chart.com/sv5a-078-066
25,ロケット団のサカキ [sv10 129/098],2800,17777,14977,https://pokeca-chart.com/sv10-129-098
85,オリジンパルキアVSTAR [S12a 259/172],9999,24888,14889,https://pokeca-chart.com/s12a-259-172
58,デオキシスVMAX [S12a 222/172],2301,16267,13966,https://pokeca-chart.com/s12a-222-172
59,シロナのガブリアスex [sv9a 091/063],5899,19800,13901,https://pokeca-chart.com/sv9a-091-063
91,カイ [S10P 077/067],6400,20000,13600,https://pokeca-chart.com/s10p-077-067
75,リーフィアVSTAR [S12a 210/172],5320,18900,13580,https://pokeca-chart.com/s12a-210-172
62,いたずら好きのピチュー [214/S-P],3888,16543,12655,https://pokeca-chart.com/214-s-p
66,かがやくカメックス [s10b 018/071],900,13300,12400,https://pokeca-chart.com/s10b-018-071
30,ミライドンex [SV1V 102/078],5600,17999,12399,https://pokeca-chart.com/sv1v-102-078
67,カリンの信念 [S5a 081/070],2140,14522,12382,https://pokeca-chart.com/s5a-081-070
11,アセロラの予感 [S8b 255/184],5999,18298,12299,https://pokeca-chart.com/s8b-255-184
54,イーブイex [sv8a 224/187],5694,17400,11706,https://pokeca-chart.com/sv8a-224-187
70,コルニの気合い [S5R 079/070],4050,15720,11670,https://pokeca-chart.com/s5r-079-070
49,イーブイex [sv8a 223/187],5090,16350,11260,https://pokeca-chart.com/sv8a-223-187
5,ゼラオラVMAX [S12a 219/172],3200,14000,10800,https://pokeca-chart.com/s12a-219-172
81,カミツレのきらめき [s8 113/100],1900,11980,10080,https://pokeca-chart.com/s8-113-100
26,プルメリ [SM3H 057/051],11111,20999,9888,https://pokeca-chart.com/sm3h-057-051
48,イーユイex [SV2D 092/071],3340,11999,8659,https://pokeca-chart.com/sv2d-092-071
73,フヨウ [S5l 080/070],2111,10650,8539,https://pokeca-chart.com/s5l-080-070
43,おじょうさま [s11 114/100],1888,10000,8112,https://pokeca-chart.com/s11-114-100
40,リーリエのアブリボン [sv9 105/100],1300,9148,7848,https://pokeca-chart.com/sv9-105-100
68,ナナミの手助け [SV2a 198/165],750,8400,7650,https://pokeca-chart.com/sv2a-198-165
97,Nの覚悟 [SM11b 066/049],4999,12500,7501,https://pokeca-chart.com/sm11b-066-049
57,スグリ [sv8a 230/187],1000,8500,7500,https://pokeca-chart.com/sv8a-230-187
29,メロエッタex [sv11B 170/086],2555,9900,7345,https://pokeca-chart.com/sv11b-170-086
51,トウコ [sv11W 166/086],3361,10500,7139,https://pokeca-chart.com/sv11w-166-086
10,チルタリス [s11a 074/068],1266,8289,7023,https://pokeca-chart.com/s11a-074-068
52,カミツオロチex [sv7 127/102],2200,8980,6780,https://pokeca-chart.com/sv7-127-102
34,ラニュイ [SM8b 160/150],3500,10000,6500,https://pokeca-chart.com/sm8b-160-150
8,テツノイワオex [SV5M 095/071],1280,7500,6220,https://pokeca-chart.com/sv5m-095-071
77,ネモ [SV4a 343/190],500,6300,5800,https://pokeca-chart.com/sv4a-343-190
56,モモワロウex [sv6a 090/064],1838,7500,5662,https://pokeca-chart.com/sv6a-090-064
80,バウッツェルex [sv7 129/102],2888,8500,5612,https://pokeca-chart.com/sv7-129-102
65,ザマゼンタV [S12a 232/172],1480,7000,5520,https://pokeca-chart.com/s12a-232-172
13,ゲノセクトex [sv11B 172/086],2400,7800,5400,https://pokeca-chart.com/sv11b-172-086
76,アンズの秘技 [sv6a 084/064],750,6000,5250,https://pokeca-chart.com/sv6a-084-064
31,ロケット団のミュウツーex [sv10 130/098],10944,16000,5056,https://pokeca-chart.com/sv10-130-098
12,グソクムシャex [SV4K 088/066],2465,7300,4835,https://pokeca-chart.com/sv4k-088-066
63,マサキの転送 [SV2a 199/165],390,5000,4610,https://pokeca-chart.com/sv2a-199-165
78,マツバの確信 [SV5K 092/071],749,399,-350,https://pokeca-chart.com/sv5k-092-071
