rank,name,mint_price,psa10_price,diff,url
45,ピカチュウex [MC 764/742],300000,703660,403660,https://pokeca-chart.com/mc-764-742
36,メガリザードンXex [M2 116/080],220000,600000,380000,https://pokeca-chart.com/m2-116-080
57,ゲンガー&ミミッキュGX [SM9 103/095],180000,496250,316250,https://pokeca-chart.com/sm9-103-095
1,ピカチュウ [227/S-P],475800,770000,294200,https://pokeca-chart.com/227-s-p
6,サーナイト&ニンフィアGX [SM9a 061/055],135000,323333,188333,https://pokeca-chart.com/sm9a-061-055
3,ルギアV [s12 110/098],120000,246775,126775,https://pokeca-chart.com/s12-110-098
86,メガカイリューex [M2a 250/193],41000,160000,119000,https://pokeca-chart.com/m2a-250-193
20,リザードン [S8a-P 001/025],86944,172517,85573,https://pokeca-chart.com/s8a-p-001-025
99,ミュウツーGX [SM8b 219/150],14444,98900,84456,https://pokeca-chart.com/sm8b-219-150
74,メガオーダイルex [MC 763/742],30000,109000,79000,https://pokeca-chart.com/mc-763-742
15,メガリザードンXex [M2 110/080],127778,201222,73444,https://pokeca-chart.com/m2-110-080
9,ミュウex [SV2a 205/165],48651,117622,68971,https://pokeca-chart.com/sv2a-205-165
40,ピカチュウex [M2a 234/193],61500,127389,65889,https://pokeca-chart.com/m2a-234-193
34,ピカチュウ [323/S-P],87000,145000,58000,https://pokeca-chart.com/323-s-p
96,カスミ＆カンナ [SM12a 191/173],32000,89000,57000,https://pokeca-chart.com/sm12a-191-173
14,エリカのモンジャラ [MC 743/742],16000,71000,55000,https://pokeca-chart.com/mc-743-742
44,リザードンex [SV4a 349/190],45000,97200,52200,https://pokeca-chart.com/sv4a-349-190
31,ブラッキーex [sv8a 217/187],65000,115274,50274,https://pokeca-chart.com/sv8a-217-187
35,ミュウex [SV2a 208/165],11704,61556,49852,https://pokeca-chart.com/sv2a-208-165
18,名探偵ピカチュウ [098/SV-P],32800,81500,48700,https://pokeca-chart.com/098-sv-p
19,リザードンex [SV3 139/108],8500,52433,43933,https://pokeca-chart.com/sv3-139-108
43,ピカチュウex [sv8 136/106],24450,67900,43450,https://pokeca-chart.com/sv8-136-106
23,ピカチュウ [208/S-P],23663,64658,40995,https://pokeca-chart.com/208-s-p
13,ダークライVSTAR [S12a 228/172],6813,40552,33739,https://pokeca-chart.com/s12a-228-172
61,アカネ [SM8 101/095],9555,40000,30445,https://pokeca-chart.com/sm8-101-095
38,ギラティナVSTAR [s11 125/100],6199,36500,30301,https://pokeca-chart.com/s11-125-100
67,ミュウツー [CLK 014/032],7800,36500,28700,https://pokeca-chart.com/clk-014-032
27,リザードンVSTAR [S12a 212/172],12999,41380,28381,https://pokeca-chart.com/s12a-212-172
16,ナツメの暗示 [SM9 109/095],8150,34000,25850,https://pokeca-chart.com/sm9-109-095
53,リザードンex [SV3 125/108],3089,26800,23711,https://pokeca-chart.com/sv3-125-108
28,ルカリオVSTAR [S12a 226/172],3600,26800,23200,https://pokeca-chart.com/s12a-226-172
47,ピカチュウ [SV2a 173/165],5052,27718,22666,https://pokeca-chart.com/sv2a-173-165
48,シャワーズV [S6a 075/069],17500,39500,22000,https://pokeca-chart.com/s6a-075-069
29,アイリスの闘志 [M2a 247/193],2777,24125,21348,https://pokeca-chart.com/m2a-247-193
77,レッド&グリーン [SM12 108/095],8700,30000,21300,https://pokeca-chart.com/sm12-108-095
50,オリジンパルキアV [S10P 071/067],9999,31000,21001,https://pokeca-chart.com/s10p-071-067
41,ギラティナVSTAR [S12a 261/172],26999,47711,20712,https://pokeca-chart.com/s12a-261-172
24,メガルカリオex [M1L 088/063],10500,30817,20317,https://pokeca-chart.com/m1l-088-063
30,ミュウツーVSTAR [s10b 091/071],5300,25000,19700,https://pokeca-chart.com/s10b-091-071
69,レシラムex [sv11W 168/086],26600,46102,19502,https://pokeca-chart.com/sv11w-168-086
8,ニンフィアex [sv8a 212/187],19500,38500,19000,https://pokeca-chart.com/sv8a-212-187
33,ナンジャモのハラバリーex [M2a 236/193],5100,24000,18900,https://pokeca-chart.com/m2a-236-193
12,ボタン [SV4a 354/190],2888,20780,17892,https://pokeca-chart.com/sv4a-354-190
