rank,name,mint_price,psa10_price,diff,url
5,メガサーナイトex [M1S 092/063],56000,164000,108000,https://pokeca-chart.com/m1s-092-063
34,リザードン&テールナーGX [SM11a 068/064],48888,146771,97883,https://pokeca-chart.com/sm11a-068-064
49,ピカチュウ(マスターボールミラー) [SV2a 025/165],66667,155000,88333,https://pokeca-chart.com/sv2a-025-165
60,ルギアV [s12 110/098],130000,217500,87500,https://pokeca-chart.com/s12-110-098
100,リザードンex [SV2a 201/165],70600,141857,71257,https://pokeca-chart.com/sv2a-201-165
27,リザードンex [SV3 134/108],39700,98867,59167,https://pokeca-chart.com/sv3-134-108
53,ミュウex [SV2a 205/165],50665,107200,56535,https://pokeca-chart.com/sv2a-205-165
20,ピカチュウ [323/S-P],76500,130416,53916,https://pokeca-chart.com/323-s-p
52,リーリエの決心 [M1L 091/063],34000,86923,52923,https://pokeca-chart.com/m1l-091-063
11,ブラッキーV [S6a 085/069],56800,107000,50200,https://pokeca-chart.com/s6a-085-069
25,バンギラスV [S5I 077/070],34999,81500,46501,https://pokeca-chart.com/s5i-077-070
9,ミュウツーV [s10b 074/071],17000,62500,45500,https://pokeca-chart.com/s10b-074-071
21,ブラッキー☆ [s8a-p 012/025],33999,71400,37401,https://pokeca-chart.com/s8a-p-012-025
82,ミュウex [SV2a 208/165],12500,47700,35200,https://pokeca-chart.com/sv2a-208-165
93,レシラム&ゼクロムGX [SM11b 064/049],29444,63137,33693,https://pokeca-chart.com/sm11b-064-049
86,マリィ [140/S-P],8500,34980,26480,https://pokeca-chart.com/140-s-p
58,ルチアのアピール [SV7a 091/064],19828,46000,26172,https://pokeca-chart.com/sv7a-091-064
63,エリカの招待 [SV2a 206/165],8488,34400,25912,https://pokeca-chart.com/sv2a-206-165
29,かがやくリザードン [s10b 011/071],4520,29511,24991,https://pokeca-chart.com/s10b-011-071
48,ブラッキー(マスターボールミラー) [sv8a 092/187],18000,42778,24778,https://pokeca-chart.com/sv8a-092-187
74,ひかるコイキング [S8a-P 010/025],20000,44472,24472,https://pokeca-chart.com/s8a-p-010-025
76,カヒリ [SM7a 065/060],5555,29750,24195,https://pokeca-chart.com/sm7a-065-060
75,サンダーex [SV2a 204/165],17500,38955,21455,https://pokeca-chart.com/sv2a-204-165
18,ゼラオラV [S6K 074/070],12777,34000,21223,https://pokeca-chart.com/s6k-074-070
14,メガジガルデex [M3 113/080],4900,23500,18600,https://pokeca-chart.com/m3-113-080
65,ロケット団のサカキ [sv10 129/098],3000,20000,17000,https://pokeca-chart.com/sv10-129-098
47,マリィ [S4a 198/190],13500,29883,16383,https://pokeca-chart.com/s4a-198-190
31,ミミッキュ [SV4a 341/190],2299,17874,15575,https://pokeca-chart.com/sv4a-341-190
51,オリジンディアルガVSTAR [S12a 260/172],10370,25616,15246,https://pokeca-chart.com/s12a-260-172
78,リザードンex [SV4a 331/190],2900,18116,15216,https://pokeca-chart.com/sv4a-331-190
1,かがやくカメックス [s10b 018/071],1555,16566,15011,https://pokeca-chart.com/s10b-018-071
90,ライコウV [S12a 218/172],3111,16000,12889,https://pokeca-chart.com/s12a-218-172
67,ソウブレイズex [sv8a 203/187],2150,14375,12225,https://pokeca-chart.com/sv8a-203-187
22,リーフィア(マスターボールミラー) [sv8a 002/187],3200,14500,11300,https://pokeca-chart.com/sv8a-002-187
95,グルーシャ [SV2P 090/071],800,12000,11200,https://pokeca-chart.com/sv2p-090-071
16,ミライドンex [SV1V 106/078],1599,12222,10623,https://pokeca-chart.com/sv1v-106-078
45,ナンジャモのハラバリーex [sv9 125/100],10600,21000,10400,https://pokeca-chart.com/sv9-125-100
40,イーブイex [sv8a 223/187],5990,16076,10086,https://pokeca-chart.com/sv8a-223-187
88,ヒスイの仲間たち [S12a 249/172],1161,10666,9505,https://pokeca-chart.com/s12a-249-172
24,ガラル ファイヤーV [S8b 242/184],1550,10900,9350,https://pokeca-chart.com/s8b-242-184
43,ポピー [SV3 131/108],699,10000,9301,https://pokeca-chart.com/sv3-131-108
71,ネモ [SV4a 351/190],1100,8899,7799,https://pokeca-chart.com/sv4a-351-190
2,リーリエのアブリボン [sv9 105/100],1450,9200,7750,https://pokeca-chart.com/sv9-105-100
42,暗号マニアの解読 [SV5M 090/071],1576,8977,7401,https://pokeca-chart.com/sv5m-090-071
61,テツノイサハex [SV5M 093/071],2100,9190,7090,https://pokeca-chart.com/sv5m-093-071
84,ディンルーex [SV2D 094/071],960,8000,7040,https://pokeca-chart.com/sv2d-094-071
91,テツノカシラex [SV5M 094/071],2700,9700,7000,https://pokeca-chart.com/sv5m-094-071
8,シロナのミカルゲ [M2a 208/193],500,7400,6900,https://pokeca-chart.com/m2a-208-193
7,ラウドボーンex [SV1a 097/073],4444,11000,6556,https://pokeca-chart.com/sv1a-097-073
37,カミツオロチex [sv7 127/102],2750,8980,6230,https://pokeca-chart.com/sv7-127-102
81,ネストボール [SV1S 107/078],2555,8550,5995,https://pokeca-chart.com/sv1s-107-078
55,ノボリとクダリ [SM8b 155/150],4444,10283,5839,https://pokeca-chart.com/sm8b-155-150
4,カキツバタ [SV7a 090/064],1280,6800,5520,https://pokeca-chart.com/sv7a-090-064
73,オーガポンかまどのめんex [SV6 126/101],800,4900,4100,https://pokeca-chart.com/sv6-126-101
