rank,name,mint_price,psa10_price,diff,url
16,ピカチュウ [288/SM-P],1500000,2380000,880000,https://pokeca-chart.com/288-sm-p
1,イーブイ [287/SM-P],300000,770000,470000,https://pokeca-chart.com/287-sm-p
74,ミュウツー&ミュウGX [SM11 098/094],199629,630000,430371,https://pokeca-chart.com/sm11-098-094
71,ピカチュウex [MC 764/742],297578,721500,423922,https://pokeca-chart.com/mc-764-742
38,メガリザードンXex [M2 116/080],248500,634000,385500,https://pokeca-chart.com/m2-116-080
40,レシラム&リザードンGX [SM10 097/095],111111,372778,261667,https://pokeca-chart.com/sm10-097-095
7,サーナイト&ニンフィアGX [SM9a 061/055],135000,291600,156600,https://pokeca-chart.com/sm9a-061-055
30,メガサーナイトex [M1S 092/063],51415,177500,126085,https://pokeca-chart.com/m1s-092-063
27,リザードン [S8a-P 001/025],78990,178000,99010,https://pokeca-chart.com/s8a-p-001-025
51,メガリザードンXex [M2 110/080],114200,198357,84157,https://pokeca-chart.com/m2-110-080
2,ミュウex [SV2a 205/165],41999,119900,77901,https://pokeca-chart.com/sv2a-205-165
86,ヒロシマのピカチュウ [261/SV-P],24000,92800,68800,https://pokeca-chart.com/261-sv-p
36,ピカチュウ [323/S-P],87000,146933,59933,https://pokeca-chart.com/323-s-p
24,ロケット団のミュウツーex [sv10 125/098],80000,139500,59500,https://pokeca-chart.com/sv10-125-098
26,ピカチュウVMAX [S8b 279/184],20111,74333,54222,https://pokeca-chart.com/s8b-279-184
48,ミュウex [SV2a 208/165],11350,62250,50900,https://pokeca-chart.com/sv2a-208-165
11,ピカチュウex [sv8a 236/187],12957,56700,43743,https://pokeca-chart.com/sv8a-236-187
90,ピカチュウ [SV4a 236/190],6642,44533,37891,https://pokeca-chart.com/sv4a-236-190
5,ダークライVSTAR [S12a 228/172],6870,41450,34580,https://pokeca-chart.com/s12a-228-172
53,ミュウツー [CLK 014/032],7438,39975,32537,https://pokeca-chart.com/clk-014-032
13,リザードンVSTAR [S12a 212/172],15555,45000,29445,https://pokeca-chart.com/s12a-212-172
35,ひかるコイキング [S8a-P 010/025],17999,47122,29123,https://pokeca-chart.com/s8a-p-010-025
46,リザードンex [SV3 125/108],3089,28000,24911,https://pokeca-chart.com/sv3-125-108
58,ピカチュウ [SV2a 173/165],4800,27944,23144,https://pokeca-chart.com/sv2a-173-165
33,ナツメの暗示 [SM9 109/095],7867,31000,23133,https://pokeca-chart.com/sm9-109-095
84,ロケット団のファイヤーex [sv10 124/098],18010,40000,21990,https://pokeca-chart.com/sv10-124-098
42,リーフィアV [S6a 071/069],18000,39600,21600,https://pokeca-chart.com/s6a-071-069
76,ミュウツーVSTAR [s10b 091/071],5500,25000,19500,https://pokeca-chart.com/s10b-091-071
82,マリィのオーロンゲex [M2a 243/193],4762,23500,18738,https://pokeca-chart.com/m2a-243-193
94,ミミッキュVMAX [S8b 234/184],7000,24000,17000,https://pokeca-chart.com/s8b-234-184
96,リザードンex [SV4a 331/190],2550,19500,16950,https://pokeca-chart.com/sv4a-331-190
95,グレイシアVSTAR [S12a 217/172],4399,21000,16601,https://pokeca-chart.com/s12a-217-172
78,エーフィ(マスターボールミラー) [sv8a 062/187],3499,19980,16481,https://pokeca-chart.com/sv8a-062-187
87,いたずら好きのピチュー [214/S-P],3500,18617,15117,https://pokeca-chart.com/214-s-p
62,ブースター [065/SV-P],8499,22800,14301,https://pokeca-chart.com/065-sv-p
44,グレイシアex  [sv8a 206/187],8200,21000,12800,https://pokeca-chart.com/sv8a-206-187
20,かがやくフシギバナ [s10b 004/071],1000,13667,12667,https://pokeca-chart.com/s10b-004-071
69,ピカチュウ [020/M-P],3599,16135,12536,https://pokeca-chart.com/020-m-p
92,メガラティアスex [M1S 088/063],4611,17053,12442,https://pokeca-chart.com/m1s-088-063
56,シャワーズ [063/SV-P],9666,22000,12334,https://pokeca-chart.com/063-sv-p
98,ジャローダV [s11a 084/068],4444,16000,11556,https://pokeca-chart.com/s11a-084-068
80,カシオペア [sv6a 091/064],2500,13500,11000,https://pokeca-chart.com/sv6a-091-064
67,ミライドンex [SV1V 106/078],1700,12433,10733,https://pokeca-chart.com/sv1v-106-078
64,ロケット団のミュウツーex [sv10 130/098],10350,21000,10650,https://pokeca-chart.com/sv10-130-098
83,グリーンの戦略 [SM11 106/094],3600,13600,10000,https://pokeca-chart.com/sm11-106-094
9,アセロラのいたずら [M1S 084/063],2096,11900,9804,https://pokeca-chart.com/m1s-084-063
89,サンダース(マスターボールミラー) [sv8a 051/187],2600,12333,9733,https://pokeca-chart.com/sv8a-051-187
19,アスナ [S6H 080/070],1790,9999,8209,https://pokeca-chart.com/s6h-080-070
99,ナンジャモのハラバリーex [sv9 114/100],800,8290,7490,https://pokeca-chart.com/sv9-114-100
73,カシオペア [sv6a 085/064],699,7650,6951,https://pokeca-chart.com/sv6a-085-064
60,アイリスの闘志 [sv9 121/100],1500,8266,6766,https://pokeca-chart.com/sv9-121-100
66,キバナ [S12a 237/172],1300,7000,5700,https://pokeca-chart.com/s12a-237-172
