rank,name,mint_price,psa10_price,diff,url
88,ブラッキーVMAX [S6a 095/069],438000,924500,486500,https://pokeca-chart.com/s6a-095-069
12,ピカチュウex [MC 764/742],331777,710981,379204,https://pokeca-chart.com/mc-764-742
44,Pikachu with Grey Felt Hat [SVP EN 085],220000,541714,321714,https://pokeca-chart.com/svp-en-085
1,ピカチュウ [227/S-P],475800,745000,269200,https://pokeca-chart.com/227-s-p
59,ピカチュウV [s8a-G 001/015],100000,331600,231600,https://pokeca-chart.com/s8a-g-001-015
5,サーナイト&ニンフィアGX [SM9a 061/055],135000,323333,188333,https://pokeca-chart.com/sm9a-061-055
30,ビクティニ [288/SV-P],121000,259000,138000,https://pokeca-chart.com/288-sv-p
51,メガカイリューex [M2a 250/193],47450,160414,112964,https://pokeca-chart.com/m2a-250-193
80,エリカのおもてなし [SM12a 190/173],80000,177500,97500,https://pokeca-chart.com/sm12a-190-173
27,リザードン [S8a-P 001/025],80000,170000,90000,https://pokeca-chart.com/s8a-p-001-025
55,リザードンex [SV2a 201/165],70000,153950,83950,https://pokeca-chart.com/sv2a-201-165
85,ミュウツーGX [SM8b 219/150],14444,97950,83506,https://pokeca-chart.com/sm8b-219-150
36,メガオーダイルex [MC 763/742],33333,109000,75667,https://pokeca-chart.com/mc-763-742
78,ロケット団のミュウツーex [sv10 125/098],59999,133600,73601,https://pokeca-chart.com/sv10-125-098
86,リザードンex [SV3 134/108],43500,116933,73433,https://pokeca-chart.com/sv3-134-108
45,ピカチュウex [M2a 234/193],58833,128002,69169,https://pokeca-chart.com/m2a-234-193
87,ミュウex [SV2a 205/165],45259,112500,67241,https://pokeca-chart.com/sv2a-205-165
73,リザードンex [SV4a 349/190],37222,98000,60778,https://pokeca-chart.com/sv4a-349-190
71,エリカのモンジャラ [MC 743/742],15416,71000,55584,https://pokeca-chart.com/mc-743-742
67,フクオカのピカチュウ [289/SV-P],24444,74008,49564,https://pokeca-chart.com/289-sv-p
42,名探偵ピカチュウ [098/SV-P],31444,79000,47556,https://pokeca-chart.com/098-sv-p
63,カスミのおねがい [SM11 104/094],20999,68000,47001,https://pokeca-chart.com/sm11-104-094
17,ミュウV [s8 106/100],25950,70000,44050,https://pokeca-chart.com/s8-106-100
3,ミュウex [SV2a 208/165],14022,58000,43978,https://pokeca-chart.com/sv2a-208-165
31,リザードンex [SV3 139/108],10500,51000,40500,https://pokeca-chart.com/sv3-139-108
98,ニャースex [M3 114/080],10724,41750,31026,https://pokeca-chart.com/m3-114-080
29,ギラティナVSTAR [s11 125/100],6199,35200,29001,https://pokeca-chart.com/s11-125-100
92,ミュウツー [CLK 014/032],7800,36625,28825,https://pokeca-chart.com/clk-014-032
39,ナツメの暗示 [SM9 109/095],8150,34000,25850,https://pokeca-chart.com/sm9-109-095
34,リザードンV [S12a 211/172],6344,31833,25489,https://pokeca-chart.com/s12a-211-172
47,メガジガルデex [M3 113/080],3935,27333,23398,https://pokeca-chart.com/m3-113-080
4,ルカリオVSTAR [S12a 226/172],3744,26300,22556,https://pokeca-chart.com/s12a-226-172
57,オリジンパルキアV [S10P 071/067],9500,31000,21500,https://pokeca-chart.com/s10p-071-067
