rank,name,mint_price,psa10_price,diff,url
24,ミミッキュ [289/SM-P],800000,2840000,2040000,https://pokeca-chart.com/289-sm-p
87,リザードンEX [276/XY-P],745000,1325000,580000,https://pokeca-chart.com/276-xy-p
1,ピカチュウ&ゼクロムGX [SM9 101/095],228000,625550,397550,https://pokeca-chart.com/sm9-101-095
72,ゲンガー&ミミッキュGX [SM9 103/095],209999,585000,375001,https://pokeca-chart.com/sm9-103-095
3,ピカチュウV [s8a-G 001/015],169200,295000,125800,https://pokeca-chart.com/s8a-g-001-015
32,ミュウVMAX [s8 119/100],166666,273000,106334,https://pokeca-chart.com/s8-119-100
22,ミュウ [S8a 030/028],33333,112000,78667,https://pokeca-chart.com/s8a-030-028
18,ピカチュウ(マスターボールミラー) [SV2a 025/165],75000,148600,73600,https://pokeca-chart.com/sv2a-025-165
73,リザードンex [SV2a 201/165],72980,140571,67591,https://pokeca-chart.com/sv2a-201-165
50,グレイシアVMAX [S6a 091/069],92500,148000,55500,https://pokeca-chart.com/s6a-091-069
15,リザードン [CLL 003/032],36400,89000,52600,https://pokeca-chart.com/cll-003-032
47,カイリューV [S7R 074/067],64999,116000,51001,https://pokeca-chart.com/s7r-074-067
93,エリカのモンジャラ [MC 743/742],14999,65800,50801,https://pokeca-chart.com/mc-743-742
13,ムサシとコジロウ [SM10b 062/054],28000,77777,49777,https://pokeca-chart.com/sm10b-062-054
8,ミュウex [SV2a 205/165],55000,101666,46666,https://pokeca-chart.com/sv2a-205-165
48,レシラム&ゼクロムGX [SM11b 064/049],34000,80100,46100,https://pokeca-chart.com/sm11b-064-049
94,ブラッキーex [sv8a 217/187],67777,108174,40397,https://pokeca-chart.com/sv8a-217-187
56,アルセウスVSTAR [S12a 262/172],17000,55528,38528,https://pokeca-chart.com/s12a-262-172
4,ピカチュウ [SM11b 054/049],39800,70000,30200,https://pokeca-chart.com/sm11b-054-049
74,ホミカの演奏 [M4 119/083],1433,29700,28267,https://pokeca-chart.com/m4-119-083
89,ニンフィアV [S6a 083/069],22999,50900,27901,https://pokeca-chart.com/s6a-083-069
9,ギラティナVSTAR [S12a 261/172],31000,57777,26777,https://pokeca-chart.com/s12a-261-172
