rank,name,mint_price,psa10_price,diff,url
1,ピカチュウ [CP3 010/032],360000,840000,480000,https://pokeca-chart.com/cp3-010-032
4,ブラッキーVMAX [S6a 095/069],476999,885000,408001,https://pokeca-chart.com/s6a-095-069
18,モクロー [290/SM-P],95000,329999,234999,https://pokeca-chart.com/290-sm-p
9,レックウザV [S7R 076/067],128000,334750,206750,https://pokeca-chart.com/s7r-076-067
66,メガルカリオex [M1L 092/063],55000,175000,120000,https://pokeca-chart.com/m1l-092-063
79,レッドのピカチュウ [270/SM-P],57500,175000,117500,https://pokeca-chart.com/270-sm-p
62,ピカチュウex [WCS23 001/030],48999,130000,81001,https://pokeca-chart.com/wcs23-001-030
30,メガゲンガーex [M2a 240/193],65694,138438,72744,https://pokeca-chart.com/m2a-240-193
54,メイのはげまし [M3 115/080],20250,81349,61099,https://pokeca-chart.com/m3-115-080
51,ピカチュウ [SV4a 236/190],7400,62920,55520,https://pokeca-chart.com/sv4a-236-190
16,ミュウツーV [s10b 074/071],12100,65171,53071,https://pokeca-chart.com/s10b-074-071
82,メガカイリューex [M2a 246/193],34500,84000,49500,https://pokeca-chart.com/m2a-246-193
42,ブラッキー☆ [s8a-p 012/025],29000,75000,46000,https://pokeca-chart.com/s8a-p-012-025
38,ミュウex [SV2a 208/165],13500,54900,41400,https://pokeca-chart.com/sv2a-208-165
28,ロケット団のミュウツーex [M2a 237/193],24999,66267,41268,https://pokeca-chart.com/m2a-237-193
49,ピカチュウ [208/S-P],24827,65499,40672,https://pokeca-chart.com/208-s-p
81,名探偵ピカチュウ [098/SV-P],35204,75000,39796,https://pokeca-chart.com/098-sv-p
61,ミュウツーVSTAR [S12a 221/172],15722,47250,31528,https://pokeca-chart.com/s12a-221-172
87,ブラッキーVMAX [S8b 245/184],9222,39500,30278,https://pokeca-chart.com/s8b-245-184
76,ミュウツー [CLK 014/032],7777,37600,29823,https://pokeca-chart.com/clk-014-032
58,ブラッキー [067/SV-P],22222,49750,27528,https://pokeca-chart.com/067-sv-p
56,グレイシアV [S6a 077/069],15500,42000,26500,https://pokeca-chart.com/s6a-077-069
85,エリカの招待 [SV2a 206/165],8333,33744,25411,https://pokeca-chart.com/sv2a-206-165
